Name,POS,Team,Age,Trade Value,SF Trade Value
Cade Otton,TE,TB,26.0,148.2808848,127.4933288
Tua Tagovailoa,QB,MIA,27.0,146.1842961,292.7259067
Damien Martinez,RB,SEA,21.0,145.8611776,127.1408391
Roman Wilson,WR,PIT,23.0,145.6725672,126.968604
Romeo Doubs,WR,GB,25.0,143.4300543,126.3787604
Jaylin Lane,WR,WAS,23.0,138.6200731,125.4678877
Theo Johnson,TE,NYG,24.0,137.2888543,123.1292975
Ben Sinnott,TE,WAS,22.0,137.0263565,123.4732517
Oronde Gadsden II,TE,LAC,21.0,135.7222691,117.0835121
Quentin Johnston,WR,LAC,23.0,135.310884,115.6509815
Dont'e Thornton Jr.,WR,LV,22.0,134.5396367,115.4201523
Austin Ekeler,RB,WAS,30.0,134.2773963,114.2733937
Kayshon Boutte,WR,NE,23.0,133.8904569,113.9116392
Matthew Stafford,QB,LAR,37.0,133.4371243,283.3073009
Amari Cooper,WR,FA,30.0,131.9564834,113.4126871
Jerome Ford,RB,CLE,25.0,131.7924195,113.2334374
Dyami Brown,WR,JAX,25.0,131.1531269,113.0028345
Kyle Monangai,RB,CHI,23.0,130.5077921,112.2639354
Kareem Hunt,RB,KC,29.0,130.4954835,110.8176524
Michael Wilson,WR,ARI,25.0,130.0267409,110.5982336
LeQuint Allen,RB,JAX,20.0,128.5503798,110.2554859
Justice Hill,RB,BAL,27.0,128.3689091,109.6771825
Zack Moss,RB,CIN,27.0,128.2822991,108.8293156
Ty Johnson,RB,BUF,27.0,128.1628448,107.8071642
DeMario Douglas,WR,NE,24.0,127.7862962,107.6259601
Xavier Restrepo,WR,TEN,23.0,127.1492853,107.0240127
Troy Franklin,WR,DEN,22.0,126.937161,107.2948394
Zach Ertz,TE,WAS,34.0,126.5664356,106.7346793
Diontae Johnson,WR,CLE,28.0,125.7514708,106.2221462
Chimere Dike,WR,TEN,23.0,125.1616234,
Malachi Corley,WR,NYJ,23.0,124.9217977,
Adam Thielen,WR,CAR,34.0,124.8084899,
Arian Smith,WR,NYJ,23.0,123.448806,
Brandin Cooks,WR,NO,31.0,122.8588104,
Tutu Atwell,WR,LAR,25.0,121.9749955,
Alec Pierce,WR,IND,25.0,120.9122424,
Juwan Johnson,TE,NO,28.0,120.8690279,
Keaton Mitchell,RB,BAL,23.0,120.5169298,
Nick Chubb,RB,FA,29.0,120.3809534,
Andrei Iosivas,WR,CIN,25.0,120.0252323,
Elijah Moore,WR,BUF,25.0,119.7180694,
Keandre Lambert-Smith,WR,LAC,22.0,118.9698454,
Michael Mayer,TE,LV,23.0,118.9331183,
Jimmy Horn Jr.,WR,CAR,22.0,118.9172384,
Kaden Prather,WR,BUF,22.0,118.2731787,
Sam Darnold,QB,SEA,,,273.1421149
Tyler Shough,QB,NO,,,236.2707428
Jalen Milroe,QB,SEA,,,234.310931
Kirk Cousins,QB,ATL,,,231.9097339
Daniel Jones,QB,IND,,,218.7645348
Russell Wilson,QB,NYG,,,213.353041
Shedeur Sanders,QB,CLE,,,155.0774512
Dillon Gabriel,QB,CLE,,,141.0054632
Trey Palmer,WR,TB,,,139.549408
Aaron Rodgers,QB,FA,,,123.0232592
Joe Flacco,QB,CLE,,,115.3326826
Joe Milton III,QB,DAL,,,113.749974
Mason Rudolph,QB,PIT,,,107.9667418
Riley Leonard,QB,IND,,,106.5481463
2025 1.01,,,,765.9864825,754.7378997
2025 1.02,,,,542.3442683,537.7884246
2025 1.03,,,,507.7241643,468.9808587
2025 1.04,,,,458.8921186,440.998695
2025 1.05,,,,400.6134203,398.4551037
2025 1.06,,,,369.3790416,353.1819948
2025 1.07,,,,356.8524385,330.0492806
2025 1.08,,,,346.0016613,316.5015476
2025 1.09,,,,330.187448,304.9177273
2025 1.10,,,,316.8859171,292.7259067
2025 1.11,,,,310.6398088,282.4696964
2025 1.12,,,,294.9103439,273.5701849
2025 2.01,,,,287.5612217,269.3282464
2025 2.02,,,,276.1439258,260.2522886
2025 2.03,,,,269.4976566,251.231414
2025 2.04,,,,255.0257787,246.5064682
2025 2.05,,,,245.0142851,236.2707428
2025 2.06,,,,238.0635645,227.5309076
2025 2.07,,,,232.8933649,223.4337095
2025 2.08,,,,225.54547,215.933051
2025 2.09,,,,219.3712306,210.3801068
2025 2.10,,,,213.0662421,208.6621884
2025 2.11,,,,204.2152666,199.7289483
2025 2.12,,,,197.1922863,196.976413
2025 3.1,,,,193.0950919,187.830704
2025 3.2,,,,191.2519593,182.2863675
2025 3.3,,,,187.4985582,174.9720812
2025 3.4,,,,184.0778451,171.1307518
2025 3.5,,,,180.8987316,168.3274914
2025 3.6,,,,179.057796,164.2980893
2025 3.7,,,,172.5606702,160.5480556
2025 3.8,,,,170.4081761,156.795214
2025 3.9,,,,166.557781,153.2682099
2025 3.10,,,,161.9691418,148.9911938
2025 3.11,,,,158.7775113,146.0717376
2025 3.12,,,,155.1324363,143.1713867
2025 4.01,,,,150.1591911,139.9985399
2025 4.02,,,,145.8611776,135.8198579
2025 4.03,,,,137.0263565,131.348468
2025 4.04,,,,134.2773963,127.4933288
2025 4.05,,,,131.1531269,123.4732517
2025 4.06,,,,128.3689091,115.4201523
2025 4.07,,,,126.5664356,113.2334374
2025 4.08,,,,123.448806,110.2554859
2025 4.09,,,,120.3809534,107.2948394
2025 4.10,,,,118.2731787,105.2675879
2025 4.11,,,,115.2731787,102.2675879
2025 4.12,,,,112.2731787,99.26758791
2026 1st RD Pick,,,,312.5260696,297.1485825
2026 2nd RD Pick,,,,178.9743933,171.6396553
2026 3rd RD Pick,,,,131.3303562,122.3557052
2026 4th RD Pick,,,,96.44136804,88.19625781
2026 Early 1st RD Pick,,,,426.5525688,412.9698521
2026 Mid 1st RD Pick,,,,276.1587303,262.1602363
2026 Late 1st RD Pick,,,,234.8669096,216.3156591
2027 1st RD Pick,,,,250.0208557,237.718866
2027 2nd RD Pick,,,,143.1795146,137.3117242
2027 3rd RD Pick,,,,105.0642849,97.88456415
2027 4th RD Pick,,,,77.15309443,70.55700625
